'S,EH S
A,AH
A,EY
A'S,EY Z
AAA,T R IH P AH L EY
ABT,EY B IY T IY
ABTS,EY B IY T IY EH S
ABTS,EY B IY T IY Z
ADSS,EY D IY EH S EH S
AG,EY G IY
AI,EY AY
AKA,EY K EY EY
AM,EY EH M
AM'S,EY EH M Z
ANFAL,EY EH N EH F EY EH L
AOL,AH M ER IH K AH AA N L AY N
AOL,EY OW EH L
APC,EY P IY S IY
APC'S,EY P IY S IY Z
ASEA,EY EH S IY EY
ASEAN,EY EH S IY EY EH N
ATX,EY T IY EH K S
AWB,EY D AH B AH L Y UW B IY
AWB,EY D AH B AH Y UW B IY
B,B IY
B'GOSH,B AY G AO SH
B'S,B IY Z
BBC,B IY B IY S IY
BBC'S,B IY B IY S IY S
BBQ,B AA R B IH K Y UW
BBQ,B IY B IY K Y UW
BT,B IY T IY
BTA,B IY T IY EY
BUA,B IY Y UW EY
BYU,B IY W AY Y UW
C'S,S IY Z
CA,S IY EY
CAC,S IY EY S IY
CACLD,S IY EY S IY EH L D IY
CC,S IY S IY
CCS,S IY S IY EH S
CD,S IY D IY
CEA,S IY IY EY
CEL,S IY IY EH L
CELO,S IY IY EH L OW
CIA,S IY AY EY
CIE,S IY AY IY
CLUJ,S IY EH L Y UW JH EY
CMOS,S IY EH M OW EH S
CMOS,S IY M OW S
CMX,K AH M EH K S
CNN,S IY EH N EH N
CNNFN,S IY EH N EH N EH F EH N
COD,S IY OW D IY
CPS,S IY P IY EH S
CSPAN,S IY S P AE N
CSPI,S IY EH S P IY AY
CT,K AO R T
CUS,S IY Y UW EH S
CXC,S IY EH K S IY
CXC,S IY EH K S S IY
CYB,S IY W AY B IY
D,D IY
D'S,D IY Z
DA'S,D IY EY Z
DAK,D IY EY K EY
DBASE,D IY B EY S
DDT,D IY D IY T IY
DFW,D IY EH F D AH B AH L Y UW
DFW,D IY EH F D AH B AH Y UW
DIFM,D IY AY EH F EH M
DK,D IY K EY
DQALPHA,D IY K Y UW AE L F AH
DR,D AA K T ER
DRAM,D IY R AE M
DSS,D IY EH S EH S
DSV,D IY EH S V IY
DUI,D IY Y UW AY
DWI,D IY D AH B AH L Y UW AY
DWI,D IY D AH B AH Y UW AY
E'S,IY Z
EAP,IY EY P IY
EEO,IY IY OW
EK,IY K EY
EKK,IY K EY K EY
EMDR,IY EH M D IY AA R
ERS,IY AA R EH S
ETC,EH T S EH T ER AH
F,EH F
F'D,EH F D
F'S,EH F S
FEB,F EH B Y AH W EH R IY
FM,EH F EH M
FOIA,EH F OW AY EY
FOP,EH F OW P IY
G'S,JH IY Z
GA,JH AO R JH AH
GA,JH IY EY
GEAC,JH IY IY EY S IY
GED,JH IY IY D IY
GENEGO,JH IY IY EH N IY JH IY OW
GMBH,JH IY EH M B IY EY CH
GNC,JH IY EH N S IY
GOVPX,G AH V P IY EH K S
GTECH,JH IY T EH K
GTECH'S,JH IY T EH K S
GWAY,JH IY W EY
GYI,JH IY W AY AY
H,EY CH
H'S,EY CH IH Z
HBOX,EY CH B AO K S
HCES,EY CH S IY IY EH S
HFDF,EY CH EH F D IY EH F
HIAA,EY CH AY EY EY
