word,phoneme,word_syllable_sequence,phoneme_syllable_sequence
aba,aba,a.ba,a.ba
ab,ab,ab,ab
ab'ad,abʔad,ab.'ad,ab.ʔad
abad,abad,a.bad,a.bad
abadi,abadi,a.ba.di,a.ba.di
abadiah,abadiah,a.ba.di.ah,a.ba.di.ah
abadikan,abadikan,a.ba.di.kan,a.ba.di.kan
a'bah,aʔbah,a'.bah,aʔ.bah
abah,abah,a.bah,a.bah
abai,abai,a.bai,a.bai
abaian,abaian,a.bai.an,a.bai.an
abaikan,abaikan,a.bai.kan,a.bai.kan
abaimana,abaimana,a.bai.ma.na,a.bai.ma.na
abaka,abaka,a.ba.ka,a.ba.ka
abakus,abakus,a.ba.kus,a.ba.kus
abang,abaŋ,a.bang,a.baŋ
abangan,abaŋan,a.bang.an,a.baŋ.an
abangnya,abaŋɲa,a.bang.nya,a.baŋ.ɲa
abar,abar,a.bar,a.bar
abaran,abaran,a.bar.an,a.bar.an
abatoar,abatoar,a.ba.to.ar,a.ba.to.ar
abau,abau,a.bau,a.bau
abdas,abdas,ab.das,ab.das
abdi,abdi,ab.di,ab.di
abdikasi,abdikasi,ab.di.ka.si,ab.di.ka.si
abdomen,abdomen,ab.do.men,ab.do.men
abdominal,abdominal,ab.do.mi.nal,ab.do.mi.nal
abdu,abdu,ab.du,ab.du
abece,abetʃe,a.be.ce,a.be.tʃe
aben,aben,a.ben,a.ben
aberasi,abərasi,a.be.ra.si,a.bə.ra.si
abet,abət,a.bet,a.bət
abian,abian,a.bi.an,a.bi.an
abid,abid,a.bid,a.bid
abidin,abidin,a.bi.din,a.bi.din
abilah,abilah,a.bi.lah,a.bi.lah
abis,abis,abis,abis
abisal,abisal,abi.sal,abi.sal
abiturien,abiturien,abi.tu.ri.en,abi.tu.ri.en
abjad,abdʒad,ab.jad,ab.dʒad
abjadiah,abdʒadiah,ab.ja.di.ah,ab.dʒa.di.ah
ablasi,ablasi,ab.la.si,ab.la.si
ablaut,ablaut,ab.la.ut,ab.la.ut
abnormal,abnormal,ab.nor.mal,ab.nor.mal
abnormalitas,abnormalitas,ab.nor.ma.li.tas,ab.nor.ma.li.tas
abnus,abnus,ab.nus,ab.nus
aboi,aboi,a.boi,a.boi
abolisi,abolisi,a.bo.li.si,a.bo.li.si
abon,abon,a.bon,a.bon
abonemen,abonəmen,a.bo.ne.men,a.bo.nə.men
aborsi,aborsi,a.bor.si,a.bor.si
abortus,abortus,a.bor.tus,a.bor.tus
abrak,abraʔ,ab.rak,ab.raʔ
abrakadabra,abrakadabra,ab.ra.ka.dab.ra,ab.ra.ka.dab.ra
abrar,abrar,ab.rar,ab.rar
abras,abras,ab.ras,ab.ras
abrasi,abrasi,ab.ra.si,ab.ra.si
abreaksi,abreaʔsi,ab.re.ak.si,ab.re.aʔ.si
abrek,abrəʔ,ab.rek,ab.rəʔ
abreviasi,abreviasi,ab.re.vi.a.si,ab.re.vi.a.si
abrik,abriʔ,ab.rik,ab.riʔ
abrikos,abrikos,ab.ri.kos,ab.ri.kos
absah,absah,ab.sah,ab.sah
absen,absen,ab.sen,ab.sen
absensi,absensi,ab.sen.si,ab.sen.si
absenteisme,absenteismə,ab.sen.te.is.me,ab.sen.te.is.mə
abses,abses,ab.ses,ab.ses
absis,absis,ab.sis,ab.sis
absolusi,absolusi,ab.so.lu.si,ab.so.lu.si
absolut,absolut,ab.so.lut,ab.so.lut
absolutisme,absolutismə,ab.so.lut.is.me,ab.so.lut.is.mə
absorben,absorben,ab.sor.ben,ab.sor.ben
absorpsi,absorpsi,ab.sorp.si,ab.sorp.si
absorptif,absorptif,ab.sorp.tif,ab.sorp.tif
abstain,abstain,ab.stain,ab.stain
abstrak,abstraʔ,ab.strak,ab.straʔ
abstraksi,abstraʔsi,ab.strak.si,ab.straʔ.si
absurd,absurd,ab.surd,ab.surd
abtar,abtar,ab.tar,ab.tar
abu,abu,a.bu,a.bu
abuan,abuan,a.bu.an,a.bu.an
abuh,abuh,a.buh,a.buh
abuhan,abuhan,a.buh.an,a.buh.an
abuk,abuʔ,a.buk,a.buʔ
abul,abul,a.bul,a.bul
abulhayat,abulhajat,a.bul.ha.yat,a.bul.ha.jat
abun,abun,a.bun,a.bun
abur,abur,a.bur,a.bur
abus,abus,a.bus,a.bus
acah,atʃah,a.cah,a.tʃah
acak,atʃaʔ,a.cak,a.tʃaʔ
acan,atʃan,a.can,a.tʃan
acang,atʃaŋ,a.cang,a.tʃaŋ
acap,atʃap,a.cap,a.tʃap
acara,atʃara,a.ca.ra,a.tʃa.ra
acaram,atʃaram,a.ca.ram,a.tʃa.ram
acar,atʃar,a.car,a.tʃar
acatan,atʃatan,a.cat.an,a.tʃat.an
acat,atʃat,a.cat,a.tʃat
acau,atʃau,a.cau,a.tʃau
acawi,atʃawi,a.ca.wi,a.tʃa.wi
acerang,atʃəraŋ,a.ce.rang,a.tʃə.raŋ
acian,atʃian,a.ci.an,a.tʃi.an
aci,atʃi,a.ci,a.tʃi
acik,atʃiʔ,a.cik,a.tʃiʔ
aco,atʃo,a.co,a.tʃo
acuan,atʃuan,a.cu.an,a.tʃu.an
acu,atʃu,a.cu,a.tʃu
acuhan,atʃuhan,a.cuh.an,a.tʃuh.an
acuh,atʃuh,a.cuh,a.tʃuh
acuman,atʃuman,a.cum.an,a.tʃum.an
acum,atʃum,a.cum,a.tʃum
acung,atʃuŋ,a.cung,a.tʃuŋ
acungkan,atʃuŋkan,a.cung.kan,a.tʃuŋ.kan
ada,ada,a.da,a.da
adaan,adaʔan,a.da.an,a.da.ʔan
adab,adab,a.dab,a.dab
adad,adad,a.dad,a.dad
adagio,adagio,a.da.gi.o,a.da.gi.o
adagium,adagium,a.da.gi.um,a.da.gi.um
adakah,adakah,a.da.kah,a.da.kah
adakala,adakala,a.da.ka.la,a.da.ka.la
adakan,adakan,a.da.kan,a.da.kan
adalah,adalah,a.da.lah,a.da.lah
adalat,adalat,a.da.lat,a.da.lat
adam,adam,a.dam,a.dam
adang,adaŋ,a.dang,a.daŋ
adanya,adaɲa,a.da.nya,a.da.ɲa
adap,adap,a.dap,a.dap
adaptasi,adaptasi,a.dap.ta.si,a.dap.ta.si
adaptif,adaptif,a.dap.tif,a.dap.tif
adaptor,adaptor,a.dap.tor,a.dap.tor
adapun,adapun,a.da.pun,a.da.pun
adar,adar,a.dar,a.dar
adas,adas,a.das,a.das
adat,adat,a.dat,a.dat
adati,adati,a.da.ti,a.da.ti
adegan,adəgan,a.de.gan,a.də.gan
adeh,adeh,a.deh,a.deh
adekuat,adəkuat,a.de.ku.at,a.də.ku.at
adem,adəm,adem,adəm
