3102,berderak,bərdəraʔ,ber.de.rak,bər.də.raʔ
3103,berderam,bərdəram,ber.de.ram,bər.də.ram
3104,berderang,bərdəraŋ,ber.de.rang,bər.də.raŋ
3105,berderap,bərdərap,ber.de.rap,bər.də.rap
3106,berderau,bərdərau,ber.de.rau,bər.də.rau
3107,berderetan,bərderetan,ber.de.ret.an,bər.de.ret.an
3108,berderet,bərderet,ber.de.ret,bər.de.ret
3109,berderik,bərdəriʔ,ber.de.rik,bər.də.riʔ
3110,berderingan,bərdəriŋan,ber.de.ring.an,bər.də.riŋ.an
3111,berdering,bərdəriŋ,ber.de.ring,bər.də.riŋ
3112,berderis,bərdəris,ber.de.ris,bər.də.ris
3113,berderit,bərdərit,ber.de.rit,bər.də.rit
3114,berderuk,bərdəruʔ,ber.de.ruk,bər.də.ruʔ
3115,berderum,bərdərum,ber.de.rum,bər.də.rum
3116,berderus,bərdərus,ber.de.rus,bər.də.rus
3117,berdesah,bərdəsah,ber.de.sah,bər.də.sah
3118,berdesakan,bərdəsakan,ber.de.sak.an,bər.də.sak.an
3119,berdesak,bərdəsaʔ,ber.de.sak,bər.də.saʔ
3120,berdesar,bərdəsar,ber.de.sar,bər.də.sar
3121,berdesau,bərdəsau,ber.de.sau,bər.də.sau
3122,berdesik,bərdəsiʔ,ber.de.sik,bər.də.siʔ
3123,berdesingan,bərdəsiŋan,ber.de.sing.an,bər.də.siŋ.an
3124,berdesing,bərdəsiŋ,ber.de.sing,bər.də.siŋ
3125,berdesir,bərdəsir,ber.de.sir,bər.də.sir
3126,berdesis,bərdəsis,ber.de.sis,bər.də.sis
3127,berdesus,bərdəsus,ber.de.sus,bər.də.sus
3128,berdetak,bərdətaʔ,ber.de.tak,bər.də.taʔ
3129,berdetar,bərdətar,ber.de.tar,bər.də.tar
3130,berdetas,bərdətas,ber.de.tas,bər.də.tas
3131,berdetik,bərdətiʔ,ber.de.tik,bər.də.tiʔ
3132,berdetus,bərdətus,ber.de.tus,bər.də.tus
3133,berdialog,bərdialog,ber.di.a.log,bər.di.a.log
3134,berdiam,bərdiam,ber.di.am,bər.di.am
3135,berdiameter,bərdiametər,ber.di.a.me.ter,bər.di.a.me.tər
3136,berdiang,bərdiaŋ,ber.di.ang,bər.di.aŋ
3137,berdiet,bərdiet,ber.di.et,bər.di.et
3138,berdikari,bərdikari,ber.di.ka.ri,bər.di.ka.ri
3139,berdiksa,bərdiʔsa,ber.dik.sa,bər.diʔ.sa
3140,berdimensi,bərdimensi,ber.di.men.si,bər.di.men.si
3141,berdinas,bərdinas,ber.di.nas,bər.di.nas
3142,berdinding,bərdindiŋ,ber.din.ding,bər.din.diŋ
3143,berdindingkan,bərdindiŋkan,ber.din.ding.kan,bər.din.diŋ.kan
3144,berdiplomasi,bərdiplomasi,ber.dip.lo.ma.si,bər.dip.lo.ma.si
3145,berdiri,bərdiri,ber.di.ri,bər.di.ri
3146,berdisiplin,bərdisiplin,ber.di.sip.lin,bər.di.sip.lin
3147,berdiskusi,bərdiskusi,ber.dis.ku.si,bər.dis.ku.si
3148,berdoa,bərdoa,ber.do.a,bər.do.a
3149,berdogol,bərdogol,ber.do.gol,bər.do.gol
3150,berdokar,bərdokar,ber.do.kar,bər.do.kar
3151,berdominasi,bərdominasi,ber.do.mi.na.si,bər.do.mi.na.si
3152,berdomisili,bərdomisili,ber.do.mi.si.li,bər.do.mi.si.li
3153,berdompak,bərdompaʔ,ber.dom.pak,bər.dom.paʔ
3154,berdosa,bərdosa,ber.do.sa,bər.do.sa
3155,berduaan,bərduaʔan,ber.du.a.an,bər.du.a.ʔan
3156,berdua,bərdua,ber.du.a,bər.du.a
3157,berduel,bərduel,ber.du.el,bər.du.el
3158,berduet,bərduet,ber.du.et,bər.du.et
3159,berduit,bərduit,ber.du.it,bər.du.it
3160,berduka,bərduka,ber.du.ka,bər.du.ka
3161,berdukacita,bərdukatʃita,ber.du.ka.ci.ta,bər.du.ka.tʃi.ta
3162,berdukun,bərdukun,ber.du.kun,bər.du.kun
3163,berdukung,bərdukuŋ,ber.du.kung,bər.du.kuŋ
3164,berduli,bərduli,ber.du.li,bər.du.li
3165,berdurasi,bərdurasi,ber.du.ra.si,bər.du.ra.si
3166,berdurhaka,bərdurhaka,ber.dur.ha.ka,bər.dur.ha.ka
3167,berduri,bərduri,ber.du.ri,bər.du.ri
3168,berduru,bərduru,ber.du.ru,bər.du.ru
3169,berdusta,bərdusta,ber.dus.ta,bər.dus.ta
3170,berdwifungsi,bərdwifuŋsi,ber.dwi.fung.si,bər.dwi.fuŋ.si
3171,bereaksi,bəreaʔsi,be.re.ak.si,bə.re.aʔ.si
3172,berebut,bərəbut,be.re.but,bə.rə.but
3173,beredar,bəredar,ber.e.dar,bər.ʔe.dar
3174,beredel,bəredəl,be.re.del,bə.re.dəl
3175,berefleksi,bərefleʔsi,be.re.flek.si,bə.re.fleʔ.si
3176,beregu,bərəgu,be.re.gu,bə.rə.gu
3177,berehat,bərehat,be.re.hat,bə.re.hat
3178,berekonomi,bərekonomi,ber.e.ko.no.mi,bər.ʔe.ko.no.mi
3179,berekor,bərekor,ber.e.kor,bər.ʔe.kor
3180,berekreasi,bəreʔreasi,be.re.kre.a.si,bə.re.kre.a.si
3181,berekskursi,bəreʔskursi,ber.eks.kur.si,bər.ʔeʔs.kur.si
3182,berekspansi,bəreʔspansi,ber.ek.span.si,bər.ʔeʔ.span.si
3183,bereksperimen,bəreʔspərimen,ber.ek.spe.ri.men,bər.ʔeʔ.spe.ri.men
3184,berekspresi,bəreʔspresi,ber.eks.pre.si,bər.ʔeʔs.pre.si
3185,beremas,bərəmas,ber.e.mas,bər.ʔə.mas
3186,beremban,bərəmban,be.rem.ban,bə.rəm.ban
3187,berembang,bərəmbaŋ,be.rem.bang,bə.rəm.baŋ
3188,berembus,bərəmbus,ber.em.bus,bər.ʔəm.bus
3189,berempat,bərəmpat,ber.em.pat,bər.ʔəm.pat
3190,berenang,bərənaŋ,be.re.nang,bə.rə.naŋ
3191,berencana,bərəntʃana,be.ren.ca.na,bə.rən.tʃa.na
3192,berenda,bərenda,be.ren.da,bə.ren.da
3193,berendeng,bərendeŋ,be.ren.deng,bə.ren.deŋ
3194,berengau,bərəŋau,be.re.ngau,bə.rə.ŋau
3195,berenggil,bərəŋgil,be.reng.gil,bə.rəŋ.gil
3196,berengsek,bəreŋseʔ,be.reng.sek,bə.reŋ.seʔ
3197,berengsot,bəreŋsot,be.reng.sot,bə.reŋ.sot
3198,berengut,bərəŋut,be.re.ngut,bə.rə.ŋut
3199,berentak,bərəntaʔ,ber.en.tak,bər.ʔən.taʔ
3200,berentet,bərentet,be.ren.tet,bə.ren.tet
3201,bereo,bəreo,be.re.o,bə.re.o
