path,language,reader,sentence,audio
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0001.mp3,ace,3103,pengakuan ateueh martabat alami manusia dan hak hak njang sama rata dan mutlak njang han keumah tapeumeungkleh nibak bandum ummat manusia nakeuh ateueh dasar keumeurdehkaan,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0001.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0002.mp3,ace,3103,keu adelan dan keudamaian dalam donja,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0002.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0003.mp3,ace,3103,bahwasadjih,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0003.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0004.mp3,ace,3103,buet hana padoli dan buet peu hina keu hak azasi manusia njan ka mengakibat keu buet buet dhalem dan biadab njang peuteupeh hate ummat manusia,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0004.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0005.mp3,ace,3103,hingga ummat manusia meuhadjat keu saboh donja njang disinan manusia djeuet geu nikmati keumeurdehkaan bak geumarit dan bak geumeu agama dan bibeueh nibak rasa teumakot dan rasa kureueng,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0005.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0006.mp3,ace,3103,hai njoe ka geupeunjata sibagoe tjita tjita njang paleng manjang nibak bandum ummat manusia,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0006.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0007.mp3,ace,3103,bahwasadjih,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0007.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0008.mp3,ace,3103,hak hak azasi manusia peureulee teupeulindong deungon na peratoran hukom,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0008.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0009.mp3,ace,3103,supaja manusia hana geupileh pemberontakan sibagoe djalan keuneuleueh njang terpaksa untuk geupeuglaih droegeuh nibak keudhaleman dan penindasan,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0009.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0010.mp3,ace,3103,bahwasadjih  nakeuh that peunteng bak teupeumadju hubongan meusahabat antara neugara neugara,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0010.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0011.mp3,ace,3103,bahwasadjih rakjat nibak persjarikatan bangsa bangsa pbb,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0011.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0012.mp3,ace,3103,dalam piagamgeuh ka sigo treuk geupeudjeulaih kejakinan gobnjan keu dasar dasar hak azasi manusia,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0012.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0013.mp3,ace,3103,ateueh martabat dan jum sidroe droe ureueng,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0013.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0014.mp3,ace,3103,dan ateueh hak hak njang saban nibak ureueng inong ngon ureueng agam,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0014.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0015.mp3,ace,3103,dan ka geumeu iktikeuet untuk peumadju taraf hudep dan kemadjuan sosiai dalam suasana keumeurdehkaan njang leubeh luwaih,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0015.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0016.mp3,ace,3103,bahwasadjih neugara neugara angeeta persjarikatan bangsa bangsa pbb  ka geumeudjandji keudroegeuh,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0016.mp3'}"
/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0017.mp3,ace,3103,geukeuridja sama deungon pbb,"{'bytes': None, 'path': '/home/ahmadnaufalhakim/.cache/huggingface/datasets/downloads/extracted/c7ab9a52eff89d9c01b4905f2bbb0ef6cbda7226752040eed03eec4e47b058a5/librivox-indonesia/train/acehnese/universal-declaration-of-human-rights/human_rights_un_ace_adam_0017.mp3'}"
