10502,kebangsaannya,kəbaŋsaʔanɲa,ke.bang.sa.an.nya,kə.baŋ.sa.ʔan.ɲa
10503,kebangsawanan,kəbaŋsawanan,ke.bang.sa.wan.an,kə.baŋ.sa.wan.an
10504,kebangunan,kəbaŋunan,ke.ba.ngun.an,kə.ba.ŋun.an
10505,kebanjiran,kəbandʒiran,ke.ban.jir.an,kə.ban.dʒir.an
10506,kebanyakan,kəbaɲakan,ke.ba.nyak.an,kə.ba.ɲak.an
10507,kebapakan,kəbapakan,ke.ba.pak.an,kə.ba.pak.an
10508,kebaruan,kəbaruan,ke.ba.ru.an,kə.ba.ru.an
10509,kebas,kəbas,ke.bas,kə.bas
10510,kebatilan,kəbatilan,ke.ba.til.an,kə.ba.til.an
10511,kebatinan,kəbatinan,ke.ba.tin.an,kə.ba.tin.an
10512,kebat,kəbat,ke.bat,kə.bat
10513,kebaya,kəbaja,ke.ba.ya,kə.ba.ja
10514,kebayan,kəbajan,ke.ba.yan,kə.ba.jan
10515,kebayuan,kəbajuan,ke.ba.yu.an,kə.ba.ju.an
10516,kebebalan,kəbəbalan,ke.be.bal.an,kə.bə.bal.an
10517,kebebangan,kəbəbaŋan,ke.be.bang.an,kə.bə.baŋ.an
10518,kebebasan,kəbebasan,ke.be.bas.an,kə.be.bas.an
10519,kebegaran,kəbəgaran,ke.be.gar.an,kə.bə.gar.an
10520,kebejatan,kəbədʒatan,ke.be.jat.an,kə.bə.dʒat.an
10521,kebekenan,kəbəkenan,ke.be.ken.an,kə.bə.ken.an
10522,kebekuan,kəbəkuan,ke.be.ku.an,kə.bə.ku.an
10523,kebelakangan,kəbəlakaŋan,ke.be.la.kang.an,kə.bə.la.kaŋ.an
10524,kebelauan,kəbəlauan,ke.be.lau.an,kə.bə.lau.an
10525,kebelet,kəbələt,ke.be.let,kə.bə.lət
10526,kebel,kəbəl,ke.bel,kə.bəl
10527,kebembem,kəbəmbəm,ke.bem.bem,kə.bəm.bəm
10528,kebenaran,kəbənaran,ke.be.nar.an,kə.bə.nar.an
10529,kebenarannya,kəbənaranɲa,ke.be.nar.an.nya,kə.bə.nar.an.ɲa
10530,kebencian,kəbəntʃian,ke.ben.ci.an,kə.bən.tʃi.an
