number,word,phoneme,syllabify,phoneme_syllabify,method
12002,kers,kers,ker.s,ker.s,LLM
12003,kersuk,kərsuʔ,ker.suk,kər.suʔ,manual
12004,kertah,kərtah,ker.tah,kər.tah,manual
12005,kertak,kərtaʔ,ker.tak,kər.taʔ,manual
12006,kertang,kərtaŋ,ker.tang,kər.taŋ,manual
12007,kertap,kərtap,ker.tap,kər.tap,manual
12008,kertas,kərtas,ker.tas,kər.tas,manual
12009,kertau,kərtau,ker.tau,kər.tau,manual
12010,kertuk,kərtuʔ,ker.tuk,kər.tuʔ,manual
12011,kertus,kərtus,ker.tus,kər.tus,manual
12012,keruan,kəruan,ke.ru.an,kə.ru.an,manual
12013,kerubung,kərubuŋ,ke.ru.bung,kə.ru.buŋ,manual
12014,kerubut,kərubut,ke.ru.but,kə.ru.but,manual
12015,kerucil,kərutʃil,ke.ru.cil,kə.ru.tʃil,manual
12016,kerucut,kərutʃut,ke.ru.cut,kə.ru.tʃut,manual
12017,kerudung,kəruduŋ,ke.ru.dung,kə.ru.duŋ,manual
12018,kerugian,kərugian,ke.ru.gi.an,kə.ru.gi.an,manual
12019,keruh,kəruh,ke.ruh,kə.ruh,manual
12020,keruit,kəruit,ke.ru.it,kə.ru.it,manual
12021,keruk,kəruʔ,ke.ruk,kə.ruʔ,manual
12022,kerukunan,kərukunan,ke.ru.kun.an,kə.ru.kun.an,manual
12023,kerukut,kərukut,ke.ru.kut,kə.ru.kut,manual
12024,kerul,kərul,ke.rul,kə.rul,manual
12025,keruma,kəruma,ke.ru.ma,kə.ru.ma,manual
12026,kerumitan,kərumitan,ke.ru.mit.an,kə.ru.mit.an,manual
12027,kerumit,kərumit,ke.ru.mit,kə.ru.mit,manual
12028,kerumuk,kərumuʔ,ke.ru.muk,kə.ru.muʔ,manual
12029,kerumunan,kərumunan,ke.ru.mun.an,kə.ru.mun.an,manual
12030,kerumun,kərumun,ke.ru.mun,kə.ru.mun,manual
12031,kerumus,kərumus,ke.ru.mus,kə.ru.mus,manual
12032,kerung,kəruŋ,ke.rung,kə.ruŋ,manual
12033,kerun,kərun,ke.run,kə.run,manual
12034,kerunting,kəruntiŋ,ke.run.ting,kə.run.tiŋ,manual
12035,keruntuhan,kəruntuhan,ke.run.tuh.an,kə.run.tuh.an,LLM
12036,keruntung,kəruntuŋ,ke.run.tung,kə.run.tuŋ,manual
12037,kerunyut,kəruɲut,ke.ru.nyut,kə.ru.ɲut,manual
12038,kerup,kərup,ke.rup,kə.rup,manual
12039,kerupuk,kərupuʔ,ke.ru.puk,kə.ru.puʔ,manual
12040,kerusakan,kərusakan,ke.ru.sa.kan,kə.ru.sa.kan,LLM
12041,kerusi,kərusi,ke.ru.si,kə.ru.si,LLM
12042,kerusuhan,kərusuhan,ke.ru.suh.an,kə.ru.suh.an,manual
12043,kerutak,kərutaʔ,ke.ru.tak,kə.ru.taʔ,manual
12044,kerut,kərut,ke.rut,kə.rut,manual
12045,kerutup,kərutup,ke.ru.tup,kə.ru.tup,manual
12046,keruwetan,kəruwətan,ke.ru.wet.an,kə.ru.wət.an,manual
12047,keruyuk,kərujuʔ,ke.ru.yuk,kə.ru.juʔ,manual
12048,kesabaran,kəsabaran,ke.sa.bar.an,kə.sa.bar.an,manual
12049,kesadaran,kəsadaran,ke.sa.dar.an,kə.sa.dar.an,manual
12050,kesahihan,kəsahihan,ke.sa.hih.an,kə.sa.hih.an,manual
12051,kesah,kesah,ke.sah,ke.sah,manual
12052,kesah,kəsah,ke.sah,kə.sah,manual
12053,kesakitan,kəsakitan,ke.sa.ki.tan,kə.sa.ki.tan,LLM
12054,kesak,kəsaʔ,ke.sak,kə.saʔ,manual
12055,kesaksamaan,kəsaʔsamaʔan,ke.sak.sa.ma.an,kə.saʔ.sa.ma.ʔan,manual
12056,kesaksian,kəsaʔsian,ke.sak.si.an,kə.saʔ.si.an,manual
12057,kesaktian,kəsaʔtian,ke.sak.ti.an,kə.saʔ.ti.an,LLM
12058,kesalahan,kəsalahan,ke.sa.la.han,kə.sa.la.han,LLM
12059,kesalahanmu,kəsalahanmu,ke.sa.la.han.mu,kə.sa.la.han.mu,LLM
12060,kesalahannya,kəsalahanɲa,ke.sa.la.han.nya,kə.sa.la.han.ɲa,LLM
12061,kesalahpahaman,kəsalahpahaman,ke.sa.lah.pa.ha.man,kə.sa.lah.pa.ha.man,LLM
12062,kesalehan,kəsalehan,ke.sa.leh.an,kə.sa.leh.an,manual
12063,kesal,kəsal,ke.sal,kə.sal,manual
12064,kesamaan,kəsamaʔan,ke.sa.ma.ʔan,kə.sa.ma.ʔan,LLM
12065,kesama-rataan,kəsamarataʔan,ke.sa.ma.ra.ta.an,kə.sa.ma.ra.ta.ʔan,LLM
12066,kesambet,kəsambət,ke.sam.bet,kə.sam.bət,manual
12067,kesambi,kəsambi,ke.sam.bi,kə.sam.bi,manual
12068,kesam,kəsam,ke.sam,kə.sam,manual
12069,kesampaian,kəsampaian,ke.sam.pa.i.an,kə.sam.pa.i.an,LLM
12070,kesandung,kəsanduŋ,ke.san.dung,kə.san.duŋ,manual
12071,kesanggupan,kəsaŋgupan,ke.sang.gup.an,kə.saŋ.gup.an,manual
12072,kesanggupannya,kəsaŋgupanɲa,ke.sang.gu.pan.nya,kə.saŋ.gu.pan.ɲa,LLM
12073,kesangsang,kəsaŋsaŋ,ke.sang.sang,kə.saŋ.saŋ,manual
12074,kesangsian,kəsaŋsian,ke.sang.si.an,kə.saŋ.si.an,manual
12075,kesan,kəsan,ke.san,kə.san,manual
12076,kesarjanaan,kəsardʒanaʔan,ke.sar.ja.na.an,kə.sar.dʒ.an.aʔan,manual
12077,kesasar,kəsasar,ke.sa.sar,kə.sa.sar,manual
12078,kesat,kəsat,ke.sat,kə.sat,manual
12079,kesatria,kəsatria,ke.sat.ria,kə.sat.ria,manual
12080,kesatuan,kəsatuan,ke.sa.tu.an,kə.sa.tu.an,LLM
12081,kesayangan,kəsajaŋan,ke.sa.yan.gan,kə.sa.jaŋan,LLM
12082,kesayangannya,kəsajaŋanɲa,ke.sa.yan.gan.nya,kə.sa.jaŋan.ɲa,LLM
12083,kesayupan,kəsajupan,ke.sa.yu.pan,kə.sa.ju.pan,LLM
12084,kesebatan,kəsebatan,ke.se.bat.an,kə.se.bat.an,manual
12085,kesebelasan,kəsəbəlasan,ke.se.be.las.an,kə.sə.bə.las.an,manual
12086,keseberangan,kəsəbəraŋan,ke.se.be.rang.an,kə.sə.bə.raŋ.an,manual
12087,kesedakan,kəsədakan,ke.se.dak.an,kə.sə.dak.an,manual
12088,kesedapan,kəsədapan,ke.se.dap.an,kə.sə.dap.an,manual
12089,kesederhanaan,kəsədərhanaʔan,ke.se.der.ha.na.an,kə.sə.dər.ha.na.ʔan,manual
12090,kesediaan,kəsədiaʔan,ke.se.di.a.an,kə.sə.di.a.ʔan,manual
12091,kesedihan,kəsədihan,ke.se.dih.an,kə.sə.dih.an,manual
12092,keseganan,kəsəganan,ke.se.gan.an,kə.sə.gan.an,manual
12093,kesegaran,kəsəgaran,ke.se.gar.an,kə.sə.gar.an,manual
12094,keseharian,kəsəharian,ke.se.ha.ri.an,kə.sə.ha.ri.an,manual
12095,kesehatan,kəsehatan,ke.se.ha.tan,kə.se.ha.tan,LLM
12096,keseimbangan,kəsəimbaŋan,ke.se.im.bang.an,kə.sə.im.baŋ.an,manual
12097,kesejahteraan,kəsədʒahtəraʔan,ke.se.jah.te.ra.an,kə.sə.dʒa.ht.ər.aʔan,LLM
12098,kesejarahan,kəsədʒarahan,ke.se.ja.rah.an,kə.sə.dʒ.ara.han,manual
12099,kesejukan,kəsədʒukan,ke.se.ju.kan,kə.sə.dʒ.ukan,LLM
12100,kesekian,kəsəkian,ke.se.ki.an,kə.sə.ki.an,LLM
12101,kesek,keseʔ,ke.sek,ke.seʔ,manual
12102,keselak,kəsəlaʔ,ke.se.lak,kə.sə.laʔ,manual
12103,keselamatan,kəsəlamatan,ke.se.la.ma.tan,kə.sə.la.ma.tan,LLM
12104,keselapan,kəsəlapan,ke.se.lap.an,kə.sə.lap.an,manual
12105,keselarasan,kəsəlarasan,ke.se.la.ras.an,kə.sə.la.ras.an,manual
12106,keselektifan,kəseleʔtifan,ke.se.lek.tif.an,kə.se.leʔ.tif.an,manual
12107,keseleo,kəsəleo,ke.se.leo,kə.sə.leo,manual
12108,keselesaan,kəsəlesaʔan,ke.se.le.sa.an,kə.sə.le.sa.ʔan,LLM
12109,keselesaian,kəsələsaian,ke.se.le.sai.an,kə.sə.lə.sai.an,manual
12110,kesel,kesel,ke.sel,ke.sel,manual
12111,kesel,kəsəl,ke.sel,kə.səl,manual
12112,keseluruhan,kəsəluruhan,ke.se.lu.ruh.an,kə.sə.lu.ruh.an,manual
12113,keseluruhannya,kəsəluruhanɲa,ke.se.lu.ru.han.nya,kə.sə.lu.ru.han.ɲa,LLM
12114,kesemarakan,kəsəmarakan,ke.se.ma.rak.an,kə.sə.ma.rak.an,manual
12115,kesemaran,kəsəmaran,ke.se.ma.ran,kə.sə.ma.ran,manual
12116,kesembilan,kəsəmbilan,ke.sem.bi.lan,kə.səm.bi.lan,manual
12117,kesembronoan,kəsəmbronoan,ke.sem.bro.no.an,kə.səm.bro.no.an,manual
