aaa,64,1.169992400533736e-06
aab,2,3.656226251667925e-08
aac,14,2.5593583761675475e-07
aad,6,1.0968678755003774e-07
aaf,6,1.0968678755003774e-07
aag,1,1.8281131258339625e-08
aah,1,1.8281131258339625e-08
aai,16,2.92498100133434e-07
aaj,14,2.5593583761675475e-07
aak,1,1.8281131258339625e-08
aal,3,5.484339377501887e-08
aam,14,2.5593583761675475e-07
aan,5,9.140565629169812e-08
aap,124,2.266860276034113e-06
aar,5,9.140565629169812e-08
aas,9,1.6453018132505662e-07
aau,18,3.2906036265011324e-07
aav,4,7.31245250333585e-08
aay,3,5.484339377501887e-08
aba,36,6.581207253002265e-07
abb,12,2.1937357510007547e-07
abc,616,1.1261176855137209e-05
abd,13,2.376547063584151e-07
abe,153,2.7970130825259624e-06
abf,7,1.2796791880837737e-07
abg,3,5.484339377501887e-08
abh,2,3.656226251667925e-08
abi,16,2.92498100133434e-07
abj,1,1.8281131258339625e-08
abk,1,1.8281131258339625e-08
abl,6,1.0968678755003774e-07
abm,1,1.8281131258339625e-08
abn,4,7.31245250333585e-08
abo,1,1.8281131258339625e-08
abp,7,1.2796791880837737e-07
abq,1,1.8281131258339625e-08
abr,1,1.8281131258339625e-08
abs,97,1.7732697320589435e-06
abt,8,1.46249050066717e-07
abu,260,4.753094127168302e-06
abv,15,2.7421696887509434e-07
abw,2,3.656226251667925e-08
abx,2,3.656226251667925e-08
aby,4,7.31245250333585e-08
aca,58,1.0603056129836982e-06
acb,23,4.2046601894181134e-07
acc,142,2.5959206386842265e-06
ace,222,4.0584111393513965e-06
acf,6,1.0968678755003774e-07
acg,2,3.656226251667925e-08
ach,14,2.5593583761675475e-07
aci,10,1.8281131258339625e-07
acj,2,3.656226251667925e-08
ack,1,1.8281131258339625e-08
acl,45,8.226509066252831e-07
acm,23,4.2046601894181134e-07
acn,6,1.0968678755003774e-07
aco,4,7.31245250333585e-08
acp,20,3.656226251667925e-07
acr,1,1.8281131258339625e-08
acs,16,2.92498100133434e-07
act,4035,7.376436462740038e-05
acu,6,1.0968678755003774e-07
acv,1,1.8281131258339625e-08
acw,1,1.8281131258339625e-08
acy,3,5.484339377501887e-08
ada,76,1.3893659756338114e-06
adb,17,3.107792313917736e-07
adc,8,1.46249050066717e-07
add,2002,3.659882477919593e-05
ade,20,3.656226251667925e-07
adf,23,4.2046601894181134e-07
adg,4,7.31245250333585e-08
adh,3,5.484339377501887e-08
adi,21,3.839037564251321e-07
adl,16,2.92498100133434e-07
adm,18,3.2906036265011324e-07
adn,2,3.656226251667925e-08
ado,56,1.023743350467019e-06
adp,19,3.4734149390845284e-07
adr,9,1.6453018132505662e-07
ads,486,8.884629791553057e-06
adt,14,2.5593583761675475e-07
adu,14,2.5593583761675475e-07
adv,40,7.31245250333585e-07
adx,3,5.484339377501887e-08
ady,2,3.656226251667925e-08
adz,3,5.484339377501887e-08
aea,1,1.8281131258339625e-08
aeb,1,1.8281131258339625e-08
aec,8,1.46249050066717e-07
aed,13,2.376547063584151e-07
aeg,6,1.0968678755003774e-07
aei,5,9.140565629169812e-08
aek,3,5.484339377501887e-08
aem,1,1.8281131258339625e-08
aen,3,5.484339377501887e-08
aeo,2,3.656226251667925e-08
aep,7,1.2796791880837737e-07
aer,15,2.7421696887509434e-07
aes,25,4.570282814584906e-07
aew,136,2.4862338511341887e-06
aez,3,5.484339377501887e-08
afa,8,1.46249050066717e-07
afb,16,2.92498100133434e-07
afc,161,2.9432621325926792e-06
afd,18,3.2906036265011324e-07
afe,1,1.8281131258339625e-08
aff,4,7.31245250333585e-08
afg,3,5.484339377501887e-08
afh,2,3.656226251667925e-08
afi,10,1.8281131258339625e-07
afj,1,1.8281131258339625e-08
afl,164,2.9981055263676983e-06
afm,3,5.484339377501887e-08
afn,12,2.1937357510007547e-07
afp,206,3.7659130392179625e-06
afr,6,1.0968678755003774e-07
afs,3,5.484339377501887e-08
aft,17,3.107792313917736e-07
afu,1,1.8281131258339625e-08
afx,1,1.8281131258339625e-08
aga,9,1.6453018132505662e-07
agb,1,1.8281131258339625e-08
agc,8,1.46249050066717e-07
age,3444,6.296021605372166e-05
agf,23,4.2046601894181134e-07
agh,2,3.656226251667925e-08
agi,8,1.46249050066717e-07
agk,1,1.8281131258339625e-08
agl,4,7.31245250333585e-08
agm,42,7.678075128502642e-07
agn,5,9.140565629169812e-08
ago,4891,8.94130129845391e-05
agp,2,3.656226251667925e-08
agr,19,3.4734149390845284e-07
ags,29,5.301528064918491e-07
agt,6,1.0968678755003774e-07
agu,11,2.0109244384173587e-07
aha,19,3.4734149390845284e-07
ahc,2,3.656226251667925e-08
ahd,1,1.8281131258339625e-08
ahe,1,1.8281131258339625e-08
ahh,9,1.6453018132505662e-07
ahi,2,3.656226251667925e-08
ahl,20,3.656226251667925e-07
ahm,2,3.656226251667925e-08
ahn,12,2.1937357510007547e-07
aho,9,1.6453018132505662e-07
ahq,3,5.484339377501887e-08
ahr,1,1.8281131258339625e-08
ahs,57,1.0420244817253585e-06
aht,3,5.484339377501887e-08
ahu,2,3.656226251667925e-08
aia,6,1.0968678755003774e-07
aib,8,1.46249050066717e-07
aic,5,9.140565629169812e-08
aid,1514,2.7677632725126192e-05
aie,1,1.8281131258339625e-08
aif,1,1.8281131258339625e-08
aig,16,2.92498100133434e-07
aii,2,3.656226251667925e-08
ail,1,1.8281131258339625e-08
aim,699,1.2778510749579396e-05
ain,18,3.2906036265011324e-07
aio,2,3.656226251667925e-08
aip,7,1.2796791880837737e-07
aiq,1,1.8281131258339625e-08
air,4681,8.557397542028778e-05
ais,20,3.656226251667925e-07
ait,9,1.6453018132505662e-07
aiu,9,1.6453018132505662e-07
aiv,1,1.8281131258339625e-08
